MORPH	POS	pred_TAG
곽태휘	NNP	B-PER
는	JX	O
_	_	O
지난달	NNG	O
_	_	O
8	SN	B-DAT
일	NNB	I-DAT
_	_	O
포항	NNP	B-ORG
과	JC	O
_	_	O
개막	NNG	O
전	XSN	O
에서	JKB	O
_	_	O
발목	NNG	O
을	JKO	O
_	_	O
다치+어	VV+EC	O
_	_	O
교체+되	NNG+XSV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
'	SS	O
일본	NNP	B-ORG
,	SP	O
_	_	O
아르헨	NNP	B-ORG
_	_	O
제압	NNG	O
'	SS	O
…	SE	O
한국	NNP	B-ORG
_	_	O
男	SH	I-POH
배구	NNG	I-POH
,	SP	O
_	_	O
올림픽	NNG	O
행	XSN	O
_	_	O
사실상	NNG	O
_	_	O
무산	NNG	O
		
지은희	NNP	B-PER
(	SS	O
22	SN	O
_	_	O
·	SP	O
_	_	O
휠라코리아	NNP	B-ORG
)	SS	O
와	JC	O
_	_	O
박희영	NNP	B-PER
(	SS	O
21	SN	B-NOH
_	_	O
·	SP	O
_	_	O
이수건설	NNP	B-PER
)	SS	O
이	JKS	O
_	_	O
나란히	MAG	O
_	_	O
합계	NNG	O
_	_	O
2	SN	B-NOH
언더파	NNG	I-NOH
_	_	O
281	SN	B-NOH
타	NNG	I-NOH
로	JKB	O
_	_	O
공동	NNG	O
_	_	O
9	SN	B-NOH
위	NNB	I-NOH
를	JKO	O
_	_	O
각각	MAG	O
_	_	O
기록+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
특히	MAG	O
_	_	O
LIG	SL	O
의	JKG	O
_	_	O
공격	NNG	O
의	JKG	O
_	_	O
핵심	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
이경수	NNP	B-PER
(	SS	O
29	SN	B-NOH
_	_	O
·	SP	O
_	_	O
레프트	NNG	O
)	SS	O
-	SO	O
김요한	NNP	O
(	SS	O
23	SN	B-NOH
_	_	O
·	SP	O
_	_	O
레프트	NNG	O
)	SS	O
-	SO	O
카이	NNP	O
_	_	O
반	NNP	B-PER
_	_	I-PER
다이크	NNP	B-PER
(	SS	O
25	SN	B-NOH
_	_	O
·	SP	O
_	_	O
라이트	NNG	O
)	SS	O
가	JKS	O
_	_	O
이번	NNG	O
_	_	O
시즌	NNG	O
에	JKB	O
는	JX	O
_	_	O
저+의	NP+JKG	O
_	_	O
몫	NNG	O
을	JKO	O
_	_	O
하+여	VV+EC	O
주+ㄹ	VX+ETM	O
_	_	O
수	NNB	O
_	_	O
있	VA	O
을지	EC	O
_	_	O
많	VA	O
은	ETM	O
_	_	O
기대	NNG	O
를	JKO	O
_	_	O
모으	VV	O
고	EC	O
_	_	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
이	NP	O
를	JKO	O
_	_	O
지켜보+ㄴ	VV+ETM	O
_	_	O
몇몇	MM	O
_	_	O
동료	NNG	O
_	_	O
선수	NNG	O
들	XSN	O
은	JX	O
_	_	O
구단	NNG	O
_	_	O
측	NNB	O
에	JKB	O
_	_	O
“	SS	O
나	NP	O
도	JX	O
_	_	O
조재진	NNP	B-PER
처럼	JKB	O
_	_	O
그런	MM	O
_	_	O
활동	NNG	O
을	JKO	O
_	_	O
하	VV	O
고	EC	O
_	_	O
싶	VX	O
다	EC	O
_	_	O
.	SF	O
		
보스턴	NNP	B-ORG
이	JKS	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
2	SN	B-NOH
경기	NNG	I-NOH
서	JKB	O
_	_	O
보이	VV	O
어	EC	O
주+ㄴ	VX+ETM	O
_	_	O
수비력	NNG	O
을	JKO	O
_	_	O
감안	NNG	O
하	XSV	O
면	EC	O
_	_	O
결코	MAG	O
_	_	O
만만	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
과제	NNG	O
가	JKC	O
_	_	O
아니	VCN	O
다	EC	O
_	_	O
.	SF	O
		
-	SO	B-ORG
-	SO	O
북한	NNP	B-ORG
의	JKG	O
_	_	O
애니메이션	NNG	O
_	_	O
수준	NNG	O
은	JX	O
.	SF	O
		
미국	NNP	B-ORG
무대	NNG	O
에서	JKB	O
_	_	O
빠르+ㄴ	VA+ETM	O
_	_	O
그린	NNG	O
에	JKB	O
_	_	O
적응	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
만큼	NNB	O
_	_	O
라데	NNP	B-PER
나	JC	O
GC	SL	O
의	JKG	O
_	_	O
살인적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
그린	NNG	O
스피드	NNG	O
를	JKO	O
_	_	O
즐기+ㄹ	VV+ETM	O
_	_	O
수	NNB	O
_	_	O
있	VA	O
는	ETM	O
_	_	O
몇	MM	O
_	_	O
안	MAG	O
_	_	O
되	VV	O
는	ETM	O
_	_	O
선수	NNG	O
_	_	O
중	NNB	O
_	_	O
한	MM	B-NOH
명	NNB	I-NOH
이	VCP	O
다	EC	O
_	_	O
.	SF	O
		
박	NNP	B-PER
_	_	O
단장	NNG	O
은	JX	O
_	_	O
SS	O	O
김병현	NNP	B-PER
이	JKS	O
_	_	O
좋	VA	O
은	ETM	O
_	_	O
소식	NNG	O
이	JKS	O
_	_	O
전	NNG	O
하+여	XSV+EC	O
오	VX	O
기+ㄹ	ETN+JKO	O
_	_	O
기다리	VV	O
겠	EP	O
다	EF	O
SS	O	O
는	JX	O
_	_	O
입장	NNG	O
이	VCP	O
다	EC	O
_	_	O
．	SF	O
		
하루	NNG	O
_	_	O
4	SN	B-NOH
만	NR	I-NOH
원	NNB	I-NOH
이+ㄴ데	VCP+EC	O
_	_	O
너무	MAG	O
_	_	O
비싸+ㄴ	VA+ETM	O
_	_	O
것	NNB	O
_	_	O
같	VA	O
아요	EC	O
_	_	O
.	SF	O
		
그	MM	O
_	_	O
이유	NNG	O
로	JKB	O
_	_	O
최근	NNG	O
_	_	O
호	NNB	O
나우	NNG	O
지	XSN	O
뉴	NNG	O
의	JKG	O
_	_	O
형	NNG	O
이	VCP	O
자	EC	O
_	_	O
에이전트	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
호베르투	NNP	B-PER
_	_	O
데	NNB	O
_	_	O
아시스	NNP	O
가	JKS	O
_	_	O
이탈리아	NNP	B-LOC
_	_	O
밀라노	NNP	B-LOC
_	_	O
시내	NNG	O
에서	JKB	O
_	_	O
AC	SL	O
밀란	NNP	B-ORG
의	JKG	O
_	_	O
아드리아노	NNP	B-PER
_	_	O
갈리아니	NNP	B-PER
_	_	O
부회장	NNG	O
과	JC	O
_	_	O
회식	NNG	O
을	JKO	O
_	_	O
하	VV	O
는	ETM	O
_	_	O
장면	NNG	O
이	JKS	O
_	_	O
포착+되	NNG+XSV	O
었	EP	O
다고	EC	O
_	_	O
전	NNG	O
하	XSV	O
고	EC	O
_	_	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
◆	SW	B-DAT
26	SN	B-DAT
일	NNB	I-DAT
_	_	O
전적	NNG	O
		
강병현	NNP	B-PER
이	JKS	O
_	_	O
포인트	NNG	O
가드	NNG	O
_	_	O
포지션	NNG	O
에	JKB	O
_	_	O
정착	NNG	O
하	XSV	O
기	ETN	O
_	_	O
위하+여서	VV+EC	O
는	JX	O
_	_	O
우선	MAG	O
_	_	O
수비	NNG	O
가	JKS	O
_	_	O
뒷받침	NNG	O
되	XSV	O
어야	EC	O
_	_	O
하+ㅁ	VX+ETN	O
은	JX	O
_	_	O
물론	NNG	O
이	VCP	O
다	EC	O
_	_	O
.	SF	O
		
한국	NNP	B-ORG
